OBJECTID;N_DEPTO;Y;X;id_unico
1;Santa Cruz;-20,323780746;-63,276803728;38226710,7
3;Santa Cruz;-20,286349977;-63,220103064;38517628,7
4;Santa Cruz;-20,405679051;-63,287830018;37817925,2
5;Santa Cruz;-20,41644965;-63,287543631;37767942,7
6;Santa Cruz;-20,291100357;-63,209309276;38516562,2
10;Santa Cruz;-20,341110119;-63,195500164;38307418,4
11;Santa Cruz;-20,264585658;-63,245348125;38571121,3
12;Santa Cruz;-20,442365681;-62,832540155;38571477
15;Santa Cruz;-20,430163573;-63,280411302;37718068,4
16;Santa Cruz;-20,103273502;-63,487906813;38878011
17;Santa Cruz;-20,104714644;-63,516008594;38816576,9
18;Santa Cruz;-20,066969301;-63,507426436;39019749,4
20;Santa Cruz;-20,235633409;-63,524176481;38159982
21;Santa Cruz;-20,137926878;-63,503557142;38677228,5
22;Santa Cruz;-20,090455759;-63,530195206;38859628
23;Santa Cruz;-20,011463946;-63,524858432;39262433,8
24;Santa Cruz;-19,945490438;-63,517905115;39606396,6
25;Santa Cruz;-19,969320904;-63,528931135;39465695
26;Santa Cruz;-19,97188972;-63,415497533;39668786
27;Santa Cruz;-19,973251119;-63,544951321;39415539,5
28;Santa Cruz;-19,973209518;-63,484813476;39530074,8
29;Santa Cruz;-20,024855544;-63,506499591;39230746,5
30;Santa Cruz;-19,981907347;-63,51954674;39420404,5
31;Santa Cruz;-20,051336601;-63,428977107;39248169,5
32;Santa Cruz;-20,070203632;-63,426118446;39160479,1
33;Santa Cruz;-20,089985158;-63,400317686;39112959,6
34;Santa Cruz;-20,08585219;-63,367292298;39197267,5
36;Santa Cruz;-20,011178963;-63,549558653;39216715,9
37;Santa Cruz;-19,911842673;-63,363376293;40068460,5
38;Santa Cruz;-19,516454045;-63,486345054;41878738,4
39;Santa Cruz;-19,728112259;-63,395146595;40941507,4
40;Santa Cruz;-19,724027356;-63,384763259;40981699,2
41;Santa Cruz;-19,7381969;-63,387146388;40904572,8
42;Santa Cruz;-19,75276739;-63,456967841;40700456,4
44;Santa Cruz;-19,840184697;-63,48058467;40209582,1
45;Santa Cruz;-19,781896756;-63,428405475;40604220
47;Santa Cruz;-19,497065817;-63,532909715;41898517
49;Santa Cruz;-19,769671963;-63,482356502;40566635,7
50;Santa Cruz;-19,760201705;-63,479959567;40619704,7
51;Santa Cruz;-19,814121084;-63,473026819;40356512,9
52;Santa Cruz;-19,6693318;-63,379002004;41274086,6
53;Santa Cruz;-19,718565289;-63,46845258;40855330,7
55;Santa Cruz;-19,819294082;-63,418206471;40432578,3
56;Santa Cruz;-19,441480003;-63,508906003;42237090,1
57;Santa Cruz;-19,735720707;-63,426382605;40844632,5
58;Santa Cruz;-19,748875202;-63,448921686;40735342,9
59;Santa Cruz;-19,49462974;-63,481568965;42002803,8
60;Santa Cruz;-19,619406773;-63,402554828;41489882,2
61;Santa Cruz;-19,568220948;-63,455876687;41660713,8
62;Santa Cruz;-19,686572021;-63,591300199;40796202,3
63;Santa Cruz;-19,390558915;-63,392748361;42713857,1
64;Santa Cruz;-19,713336032;-63,446884806;40922033,2
65;Santa Cruz;-19,727831805;-63,414510212;40907134,5
66;Santa Cruz;-19,42300741;-63,529452405;42299705,8
67;Santa Cruz;-19,761024659;-63,371139411;40817452,3
68;Santa Cruz;-19,427662591;-63,588607902;42170925,1
69;Santa Cruz;-19,585091353;-63,555949666;41391781,4
70;Santa Cruz;-18,926046857;-63,402199074;45243036,6
71;Santa Cruz;-19,020711251;-63,404618238;44709792,4
72;Santa Cruz;-19,37967233;-63,50412387;42576659
73;Santa Cruz;-19,309995562;-63,412697145;43111248
75;Santa Cruz;-19,36975843;-63,364996686;42873852,1
76;Santa Cruz;-19,291491875;-63,48218407;43090932,9
77;Santa Cruz;-19,334217784;-63,46633259;42887326,1
78;Santa Cruz;-19,097431223;-63,514163484;44101357,8
79;Santa Cruz;-19,218109592;-63,486196137;43483698,2
80;Santa Cruz;-19,112707368;-63,601451393;43871201,5
81;Santa Cruz;-19,282544494;-63,427129245;43234545,7
82;Santa Cruz;-19,844001099;-63,369837008;40398005,5
83;Santa Cruz;-19,347884356;-63,495754213;42762425,2
84;Santa Cruz;-20,414044355;-63,514959034;37322374,7
85;Santa Cruz;-20,40376125;-63,517537735;37365997,4
86;Santa Cruz;-20,387729314;-63,47249326;37532179,2
87;Santa Cruz;-20,381918631;-63,499523745;37505795,1
88;Santa Cruz;-20,374441968;-63,40891128;37722366,7
89;Santa Cruz;-20,312947078;-63,371804659;38088925,6
90;Santa Cruz;-20,449316033;-63,555546676;37074028,6
91;Santa Cruz;-20,224032237;-63,469381914;38323805,7
92;Santa Cruz;-20,240369829;-63,47420561;38235185,1
93;Santa Cruz;-20,416929443;-63,484790322;37369153,6
95;Santa Cruz;-20,3875777;-63,454582882;37568713,6
96;Santa Cruz;-20,453901211;-63,519002607;37125799,1
97;Santa Cruz;-18,71634473;-63,355987772;46506818,7
99;Santa Cruz;-18,85390818;-63,423253065;45616016,7
101;Santa Cruz;-18,905514112;-63,533825471;45145725,3
102;Santa Cruz;-18,817657963;-63,536504912;45641903
103;Santa Cruz;-18,556492368;-63,379949455;47393258,8
104;Santa Cruz;-18,549500569;-63,22989294;47663856,6
105;Santa Cruz;-18,354533645;-63,431366201;48507038
106;Santa Cruz;-18,245221328;-63,190088862;49508430,3
107;Santa Cruz;-18,337662931;-63,059488588;49156187,9
108;Santa Cruz;-18,333755537;-62,977104274;49303222,7
109;Santa Cruz;-18,36295668;-62,98256957;49124857,7
110;Santa Cruz;-18,385628888;-62,987434223;48985687,7
113;Santa Cruz;-18,357466197;-63,032540256;49081067,1
114;Santa Cruz;-18,388051932;-63,031073426;48905094,3
115;Santa Cruz;-18,401029217;-63,032106009;48828071,9
118;Santa Cruz;-18,431894957;-63,084819641;48568302,7
119;Santa Cruz;-18,447838284;-63,079955631;48483213
122;Santa Cruz;-18,127315734;-63,051607689;50411185,2
123;Santa Cruz;-18,14457097;-63,04898445;50312076,1
124;Santa Cruz;-18,133483673;-63,09205859;50316207
125;Santa Cruz;-18,138011812;-63,123890473;50243497,2
126;Santa Cruz;-18,164561254;-63,123580129;50085249,8
127;Santa Cruz;-18,17506344;-62,966597128;50251001
128;Santa Cruz;-18,18089827;-62,976442413;50202041,7
129;Santa Cruz;-18,172689697;-62,993265383;50226002,3
130;Santa Cruz;-18,17233234;-63,000522448;50217514,1
131;Santa Cruz;-18,16340097;-63,009851028;50256882,4
132;Santa Cruz;-18,169323968;-63,051196902;50161557,4
133;Santa Cruz;-18,192259219;-63,051959593;50024242,9
134;Santa Cruz;-18,177537836;-63,081173956;50069198,7
135;Santa Cruz;-18,112322425;-63,012057144;50557594,3
136;Santa Cruz;-18,177843104;-63,102146186;50036995,3
137;Santa Cruz;-18,177728921;-63,118180716;50014488
138;Santa Cruz;-18,200196617;-62,954269817;50120674,7
139;Santa Cruz;-18,200992121;-62,968774711;50094583,8
140;Santa Cruz;-18,201423499;-62,980750602;50074391,4
