c_manz,lat,long,id_unico
0192289001,-16.3227709512,-68.0151901661,626213682-A
0192289006,-16.3228537494,-68.0151427925,626205136-A
0182369004,-16.3019793382,-68.0235528352,628307175-A
0182369002,-16.2950700452,-68.0241352624,628969088-A
0182369001,-16.2951490433,-68.0239433682,628958578-A
0140790140,-16.2941073047,-68.0704098772,629804365-A
0173210030,-16.3029126033,-68.0546207912,628714689-A
0161581220,-16.2856216123,-68.0452968537,630201288-A
0143079000,-16.2856660514,-68.065380168,630522669-A
0091900190,-16.2947765107,-68.095356706,630149858-A
0070570331,-16.3016385938,-68.093691602,629470925-A
009258N8050,-16.2951318031,-68.0953256912,630115606-A
009258N8040,-16.2949604777,-68.0954534608,630133984-A
009258N8030,-16.2948353177,-68.0955504357,630147470-A
009258N8020,-16.2947127241,-68.0956632212,630160974-A
009258N8010,-16.2946072958,-68.0957970154,630173195-A
009258N8000,-16.2945213335,-68.0959097369,630183220-A
0200910460,-16.3345997599,-68.0603758644,625809426-A
0122790170,-16.2852742392,-68.0718962071,630666229-A
0122790150,-16.2853807041,-68.0722862931,630662513-A
0122790051,-16.2849503791,-68.071844653,630696105-A
0121990120,-16.285205443,-68.0728575047,630688486-A
0121990110,-16.28485392,-68.0729238535,630722917-A
0121990080,-16.2850593608,-68.0723394859,630693865-A
0122800290,-16.284976716,-68.0733221534,630717790-A
0122800240,-16.2844059972,-68.0736590091,630777449-A
0122800180,-16.2846166582,-68.0729881329,630746477-A
0121980190,-16.2844803783,-68.0731343283,630761799-A
0121980090,-16.2841388601,-68.0724163799,630782441-A
0121980050,-16.2841318766,-68.0721903655,630779403-A
0121980040,-16.2839898565,-68.072299267,630794658-A
0122690350,-16.2838449675,-68.0742899163,630841012-A
0121970760,-16.2855129647,-68.0744894931,630686037-A
0122900100,-16.2830536406,-68.0730706545,630896107-A
0122900070,-16.2831443397,-68.0726286833,630880262-A
0122900060,-16.2830768065,-68.0724414391,630883601-A
0121950330,-16.2828328069,-68.0722168895,630903071-A
0121950220,-16.282494715,-68.0719813774,630931287-A
0121950150,-16.2819917433,-68.0720183274,630979608-A
0122770161,-16.2814085663,-68.07251266,631043035-A
0122770130,-16.2815060137,-68.0721687264,631028153-A
0122040060,-16.2929184316,-68.0735577502,629968411-A
0122040020,-16.2926527724,-68.0735736291,629993862-A
0122960350,-16.2926879997,-68.0734201985,629988017-A
0122960100,-16.2917925909,-68.0731659029,630068775-A
0122030400,-16.2926450862,-68.0739740249,630001128-A
0122020140,-16.290832762,-68.0732842806,630161731-A
0122010150,-16.2856993322,-68.0735454354,630652897-A
0182380300,-16.3138148095,-68.035702581,627381652-A
0060340080,-16.3021831785,-68.0804717964,629202706-A
0060320160,-16.3040319852,-68.0822762975,629056837-A
0122000010,-16.2853405838,-68.0730400941,630678655-A
0060330090,-16.3028736052,-68.0815819691,629155354-A
0060320090,-16.3036421064,-68.0824049487,629099019-A
0060330020,-16.3023512074,-68.0810868647,629196812-A
0060310120,-16.3020182751,-68.0820176365,629243585-A
0060290050,-16.3013068614,-68.0837341093,629339118-A
0063300110,-16.3016237708,-68.0834238538,629303984-A
0062860090,-16.300058525,-68.0815845159,629422377-A
0062860080,-16.2958155957,-68.08170269,629826782-A
0082590110,-16.2932006265,-68.0903343505,630216696-A
0080050190,-16.2933654752,-68.0858281542,630126930-A
0062490060,-16.3011504377,-68.081407572,629315925-A
0143170851,-16.2832788867,-68.0639963038,630726430-A
0080080140,-16.2946116889,-68.0916961843,630105159-A
0143181250,-16.2858899057,-68.0647320742,630490885-A
0062480140,-16.3015653275,-68.081612298,629279922-A
0062480150,-16.3013630364,-68.0812332931,629292916-A
0062480160,-16.3020909902,-68.0816577498,629230811-A
0080040110,-16.2927247618,-68.0909456259,630271945-A
0192261160,-16.3213516022,-68.0246103853,626495065-A
0080060100,-16.2940511412,-68.0856370121,630058718-A
0192260850,-16.3152339373,-68.0239711231,627062347-A
0080080090,-16.2943343327,-68.0917061338,630131656-A
0150900070,-16.2948906253,-68.0628661525,629607533-A
0150840020,-16.2946448586,-68.0646310755,629659454-A
0060350070,-16.3016184577,-68.0805425508,629257414-A
0150840290,-16.2950907523,-68.0635501426,629599665-A
0060350130,-16.3016709788,-68.0801870438,629246630-A
0080040080,-16.2923813915,-68.0908714403,630303324-A
0150850030,-16.2953670706,-68.0652273168,629600697-A
0193970392,-16.322985597,-68.0207265055,626280006-A
0193430330,-16.322738666,-68.045174954,626688773-A
0140780410,-16.2931450912,-68.0651771047,629810445-A
0192240280,-16.3226528207,-68.0329751563,626503877-A
0143188110,-16.2901430501,-68.0641901706,630078915-A
0060310080,-16.3017230676,-68.0828733921,629285567-A
0060310010,-16.3012646824,-68.0825507673,629323770-A
0060310020,-16.3011274695,-68.0822587114,629332011-A
0140760040,-16.2910109291,-68.0703174579,630096416-A
0083450050,-16.2940641163,-68.0923152537,630167348-A
0060300080,-16.3025184634,-68.0829764932,629211812-A
0143080480,-16.291677478,-68.0627996063,629910907-A
0111310310,-16.2752878431,-68.0858124968,631843157-A
0171650230,-16.3044011293,-68.0604654863,628667932-A
0173310230,-16.3053800903,-68.0640198374,628632608-A
0171650220,-16.3042966767,-68.0606412541,628680657-A
0173220180,-16.3028455174,-68.0643878302,628878604-A
0173150160,-16.3025181094,-68.0604367628,628845766-A
0171630160,-16.3048014543,-68.0636965186,628682183-A
0173150150,-16.3025752759,-68.0606222414,628843347-A
0171670140,-16.2952944462,-68.0537250485,629421437-A
0173150140,-16.3027707994,-68.0612823134,628835490-A
0173310140,-16.3046714913,-68.0649264049,628714368-A
0212149010,-16.3205350661,-68.0615579437,627158465-A
0133040060,-16.2809571026,-68.0701359332,631046929-A
0043610501,-16.3122715189,-68.0826623728,628284999-A
0043640620,-16.3139322653,-68.0833577016,628135797-A
0140728120,-16.2807414665,-68.060998878,630918133-A
0212130500,-16.3133689252,-68.0650273796,627892431-A
0212138000,-16.3130484385,-68.0713012784,628024027-A
0212138080,-16.3147726124,-68.0710425381,627856551-A
0212139000,-16.3146674176,-68.0708900499,627864051-A
0212138030,-16.3125997041,-68.0651658584,627967486-A
0212130381,-16.3126186004,-68.0656403843,627973345-A
0213880031,-16.3124004649,-68.0635474483,627960276-A
0212130680,-16.3133034682,-68.0707890101,627991593-A
0212130670,-16.313225733,-68.0706165861,627996169-A
0212130660,-16.312948238,-68.070705125,628023881-A
0192420011,-16.3126993037,-68.0231839605,627289191-A
0193960570,-16.3257122608,-68.0436640953,626383877-A
0193968020,-16.3253720259,-68.0429324898,626404430-A
0193968010,-16.3257793679,-68.0440145635,626383089-A
0193968000,-16.3247125677,-68.0451129216,626501284-A
0193420050,-16.3153006076,-68.0200125115,626993817-A
0193420040,-16.3154616887,-68.0205239183,626986650-A
0193420030,-16.3152048063,-68.0205611067,627011474-A
0193420020,-16.3151404768,-68.0204409899,627015657-A
0193420010,-16.3149976039,-68.0205534703,627030906-A
0140728090,-16.2803787728,-68.061462572,630960075-A
0143170471,-16.2819382934,-68.0636863295,630848478-A
0100990300,-16.2922931753,-68.0853459241,630220778-A
0122900120,-16.2834281595,-68.07258099,630852556-A
0140760280,-16.2915470696,-68.0657267666,629970831-A
0102670700,-16.2651881664,-68.0911653623,632891891-A
0100950420,-16.272748161,-68.0902217606,632157560-A
0060280090,-16.3004423834,-68.0826618455,629403581-A
0060280160,-16.300142743,-68.0825705695,629430510-A
0121960320,-16.2839437227,-68.0734168617,630817337-A
0100930130,-16.2633371575,-68.0909732048,633064686-A
0121960350,-16.2837020854,-68.0737690094,630846031-A
0060270110,-16.3005368767,-68.0800543347,629352012-A
0192280013,-16.3203801736,-68.0152136665,626439485-A
0043669010,-16.3216790004,-68.081857794,627377308-A
0060270050,-16.3001290128,-68.0803678237,629395812-A
0043640140,-16.3125885248,-68.082530725,628249720-A
0091800390,-16.290147106,-68.0954743108,630591486-A
